path,class,source,split
E:\Lavindu\HCI\asl_dataset\a\hand2_a_left_seg_4_cropped.jpeg,A,asl_dataset,train
E:\Lavindu\HCI\SignAlphaSet\A\A_74.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_163.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_156.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\asl_dataset\a\hand1_a_bot_seg_4_cropped.jpeg,A,asl_dataset,train
E:\Lavindu\HCI\SignAlphaSet\A\A_382.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_830.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_531.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_286.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_554.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\asl_dataset\a\hand2_a_left_seg_4_cropped.jpeg,A,asl_dataset,train
E:\Lavindu\HCI\SignAlphaSet\A\A_975.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\asl_dataset\a\hand5_a_bot_seg_5_cropped.jpeg,A,asl_dataset,train
E:\Lavindu\HCI\SignAlphaSet\A\A_548.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_221.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_24.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_379.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_138.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_463.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\asl_dataset\a\hand5_a_bot_seg_4_cropped.jpeg,A,asl_dataset,train
E:\Lavindu\HCI\SignAlphaSet\A\A_258.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_713.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_359.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_377.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_301.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_919.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_909.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_489.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\asl_dataset\a\hand1_a_top_seg_1_cropped.jpeg,A,asl_dataset,train
E:\Lavindu\HCI\SignAlphaSet\A\A_137.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_889.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_231.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_805.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_693.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_360.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_721.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_732.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_462.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_484.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_616.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_60.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_948.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_73.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_282.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_371.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_39.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_568.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\asl_dataset\a\hand2_a_bot_seg_4_cropped.jpeg,A,asl_dataset,train
E:\Lavindu\HCI\SignAlphaSet\A\A_377.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_46.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_249.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_756.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_950.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_356.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_821.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_938.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_664.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_637.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_195.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_11.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_856.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_398.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_805.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_259.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_627.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_120.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_135.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_836.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_418.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_463.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\asl_dataset\a\hand4_a_bot_seg_1_cropped.jpeg,A,asl_dataset,train
E:\Lavindu\HCI\SignAlphaSet\A\A_647.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_88.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_107.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_646.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_948.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_770.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_542.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_540.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_348.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_780.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\asl_dataset\a\hand1_a_dif_seg_1_cropped.jpeg,A,asl_dataset,train
E:\Lavindu\HCI\SignAlphaSet\A\A_420.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_328.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_310.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_595.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_567.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_333.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_286.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_609.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_747.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_435.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\asl_dataset\a\hand2_a_dif_seg_3_cropped.jpeg,A,asl_dataset,train
E:\Lavindu\HCI\SignAlphaSet\A\A_616.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_150.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_667.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_802.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_272.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_631.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_796.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_425.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_553.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_675.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\asl_dataset\a\hand2_a_right_seg_3_cropped.jpeg,A,asl_dataset,train
E:\Lavindu\HCI\SignAlphaSet\A\A_899.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_759.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_7.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\asl_dataset\a\hand2_a_bot_seg_3_cropped.jpeg,A,asl_dataset,train
E:\Lavindu\HCI\SignAlphaSet\A\A_206.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_219.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_129.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_204.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_464.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_734.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_649.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_77.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_569.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_400.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\asl_dataset\a\hand2_a_top_seg_1_cropped.jpeg,A,asl_dataset,train
E:\Lavindu\HCI\SignAlphaSet\A\A_560.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_171.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_79.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_922.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_513.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_440.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_553.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_909.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_174.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_897.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_703.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_796.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_395.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_103.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_245.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_566.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_945.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\asl_dataset\a\hand4_a_bot_seg_1_cropped.jpeg,A,asl_dataset,train
E:\Lavindu\HCI\SignAlphaSet\A\A_246.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_518.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_504.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_54.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\asl_dataset\a\hand5_a_dif_seg_2_cropped.jpeg,A,asl_dataset,train
E:\Lavindu\HCI\SignAlphaSet\A\A_702.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_357.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_603.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_177.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_589.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\asl_dataset\a\hand2_a_top_seg_3_cropped.jpeg,A,asl_dataset,train
E:\Lavindu\HCI\SignAlphaSet\A\A_967.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_496.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_420.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_921.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_700.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_166.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_971.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_303.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_461.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_87.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_393.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_37.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_497.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_85.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_243.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_980.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_848.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_607.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_411.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_320.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_258.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_758.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_937.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_902.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_176.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_632.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\asl_dataset\a\hand1_a_top_seg_2_cropped.jpeg,A,asl_dataset,train
E:\Lavindu\HCI\SignAlphaSet\A\A_854.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_51.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_799.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_179.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_677.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\asl_dataset\a\hand2_a_top_seg_5_cropped.jpeg,A,asl_dataset,train
E:\Lavindu\HCI\SignAlphaSet\A\A_147.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_723.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_678.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_124.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_708.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_298.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_20.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_218.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_986.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_869.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_255.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_516.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_629.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_931.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_78.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_114.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_48.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\asl_dataset\a\hand4_a_bot_seg_3_cropped.jpeg,A,asl_dataset,train
E:\Lavindu\HCI\SignAlphaSet\A\A_355.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_801.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_484.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_730.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_453.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_700.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_126.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_199.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_749.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_556.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_356.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_291.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_537.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_460.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_280.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_392.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_602.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\asl_dataset\a\hand1_a_left_seg_3_cropped.jpeg,A,asl_dataset,train
E:\Lavindu\HCI\SignAlphaSet\A\A_729.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_527.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_401.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_405.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_665.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_230.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_409.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_422.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_173.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_615.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_141.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_52.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_892.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_238.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_590.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_262.jpg,A,SignAlphaSet,train
E:\Lavindu\HCI\SignAlphaSet\A\A_918.jpg,A,SignAlphaSet,train
